Review,Rating,Date
"Aplikasi parah, tidak jelas, payah, sudah capek-capek upload data ini itu, giliran mau janjian datang ke kantor imigrasi... eh... ternyata dari jadwalnya penuh. Dan dapat informasi dari teman ternyata walaupun kuota penuh tapi bisa diusahakam dapat paspor melalui ""orang dalam"" dengan biaya 1.5 - 1.9 jt.... duhhhh Ternyata bukan membuat mudah, justru membuat lebih sulit dan yg paling eneg adalah biaya yg dikeluarkan sungguh diluar dugaan. Ini tdk beda dengan aplikasi SIM online... sulit n payah",1,2024-10-22 11:36:14
Mudah di gunakan,5,2024-10-22 09:27:47
Bagus banget..,5,2024-10-22 08:03:47
"Aplikasi ga berguna..!! udah cape cape bikin akun dan mengikuti arahan, pas pemilihan tanggal gada satupun tanggal yg bisa dipilih, udah coba liat di kantor imigran yg lain sama aja. Dalam keterangan (warna ijo = tersedia, merah= penuh, putih= kuota belum terbuka, Oren= tanggal terpilih) sedangkan di kolomnya cuma ada warna biru, putih, merah. Saya pilih warna biru tapi tetep aja gabisa apalagi warna yg lain 👎",1,2024-10-22 07:52:32
"Aplikasinya berjalan baik, tapi seharusnya ada form untuk pembatalan dan refund, terutama kalau ada keperluan mendadak dan tidak bisa hadir. Sehingga uang yang sudah dibayarkan tidak hangus.",1,2024-10-22 04:33:19
"Ga dapet dapet kode billing. Tiba-tiba permohonannya otomatis kadaluarsa. Buat permohonan ulang, NIK sedang menunggu pembayaran. Di aplikasi ga ada menu Help. Chat di live chat yg di web, ga ada respon. Wa customer service pun ga ada tanggapannya.",1,2024-10-22 03:06:35
APLIKASI LAKNAT,1,2024-10-22 02:31:06
Bukan mempermudah tapi mempersulit. Tidak ada wadah utk menanyakan sesuatu yg jd masalah Akhirx tdk berfungsi dan tdk berguna.. Apalg utk org tua yg gaptek dan tdk punya hp .,1,2024-10-22 00:50:36
"masa penuh semua, mau milih lokasi loading terus",2,2024-10-21 23:20:39
Ok ini,5,2024-10-21 21:33:06
Cukup membantu,5,2024-10-21 17:45:58
cara daftar nya sich mudah..tp darrah sini pd tidak tau cara bayar nya..bri link gk paham cara bayar nya..mohon solusi nya dong,1,2024-10-21 11:20:19
Masak semua lokasi kantor imigrasi antriannya full,1,2024-10-21 09:44:59
Ok,5,2024-10-21 06:52:59
Tidak bisa memilih tanggal untuk jadwal kedatangan,2,2024-10-21 04:54:30
Mengecewakan login aja ga bisa mau nya gimana dah,1,2024-10-21 04:36:01
"Mempermudah pendaftaran bahkan bisa membantu saudara atau teman yg ingin buat paspor namun ini tadi ada kendala pendaftar tidak ditemukan padahal berkas sudah lengkap semua di upload, kenapa ya????",5,2024-10-21 04:00:26
Lambat,1,2024-10-21 03:28:10
"Kagak guna bikin aplikasi, buang buang APBN doang. Koruptor koruptor",1,2024-10-21 03:25:39
Aplikasi apaan ini? Susah sekali untuk daftar...niat atw tidak ini pemerintah buat apps?,1,2024-10-21 03:02:46
"Heran kok pas mau login terkeluar muluu, sudah clear cache, redownload sama aja",1,2024-10-21 03:02:15
Wkwkwkkwkk ketawain aja udahlah,1,2024-10-21 02:33:47
"bikin aplikasi pelayana publik tuh yg serius tuan, baru upload foto ktp mental terus,ganti hp sama aja, ttp ja yg cpet mah lewat ordal lah capeeeeee g guna apk",1,2024-10-20 15:58:11
Aplikasi buruk,1,2024-10-20 13:43:09
Knpa yh status nya tertulis menunggu pembayaran padahal aku sudah melakukan transaksi pembayaran nya,3,2024-10-20 13:42:25
"Tolong Perbaiki lagi Fungsi Tanggalan untuk Jadwal Pembuatan,Perbaruan/lain nya. Karena Saya tidak bisa Meng klik tanggal yang padahal sudah Kosong jadwal nya. Tapi tidak bisa diproses untuk melanjutkan ke tahap selanjutnya.",1,2024-10-20 12:38:34
Bagus,5,2024-10-20 09:12:25
aplikasinya keluar sendiri terus. boro2 urusan selesai dengan mudah ada juga jadi emosi,1,2024-10-20 08:33:01
"Kok apk nya nggak bsa login. Udah masukin email sma pass tiba"" Keluar sendiri",1,2024-10-20 06:43:59
"Bikin akun, minta OTP, OTP nya gak masuk2. pas mau daftar lagi, Nomor katanya udah kedaftar. Pas coba login, Katanya tidak valid. Mau ""Lupa kata Sandi"", email katanya belum terdaftar. Yes..basically its a useless app.",1,2024-10-20 04:11:02
Ok,5,2024-10-20 01:39:16
Aplikasi yg cuma formalitas...sama sekali gak berfungsi...ditanggal kedatangan....semua full pokoknya nyebelin banget....buat apa bikin beginian kl sekiranya gak bisa dipake👎👎,1,2024-10-19 16:06:24
hanya mempersulit warga buat dokumen,1,2024-10-19 12:40:14
Best App,5,2024-10-19 12:24:15
"Pendaftaran paspor pertama lancar, cepat dan mudah, sampai pengambilan paspor di Mal Pelayanan Publik, tidak harus ke kantor imigrasi langsung, tapi untuk pendaftaran jamaah yang ke 2 kali selalu keluar sendiri, mohon diperbaiki. Terima kasih",4,2024-10-19 11:27:35
Ok,5,2024-10-19 09:28:58
kenapa ga bisa milih tanggal kedatangan? aneh lahhh,2,2024-10-19 06:10:18
"Sangat mudah,dan hemat waktu..",5,2024-10-19 03:33:48
Gak bisa upload dokumen.. selalu close setiap upload..,2,2024-10-19 02:37:13
sangat membantu dan prosesnya mudah,5,2024-10-18 22:21:25
"Aplikasi pling anjg, 1 x udh gagal buat paspor ggara apl nya maintenance gajelas ga bisa di buka duit hangus 350rb, trs skrg mau buat lagi yg elektronik 650rb pas mau bayar ga bisa dan udh g tau gmn lgi cara bayar nya dan batas tenggat waktu pembayaran nya yg sedikit kali, seharusnya batas pembayaran nya 1x 24 jam, dan seharusnya duit yg hangus karena aplikasi maintenance bisa di kembalikan karna bukan kesalahan dri saya melainkan dri apl buatan kalian sendiri, ribet bgt repot bknnya mempermudah",1,2024-10-18 14:42:13
Lihat bagaimana cara pembayaran kok diarahkan ke link judi online,2,2024-10-18 14:28:16
Pada Jadwal Kedatangan G Ada Kolom Berwarna Hijau,1,2024-10-18 14:11:21
Bagus,4,2024-10-18 13:41:53
"Mana ga bisa masuk2, keluar sendiei",1,2024-10-18 10:26:19
"Apk nya jelek bangeet pada saat sdh pilih tgl kedatangan dll, tinggal posting tpi error terus ,, begitu terus dari pagi sampai sore padahal jaringan lancar2 aja, paket data juga masih banyak",1,2024-10-18 09:26:21
Tidak bisa pilih tanggal,1,2024-10-18 09:22:16
Aplikasi yang gak ada gunanya,1,2024-10-18 08:42:02
Aplikasi ter aneh yang ada di playstore . Disarankan hapus karena ga guna. Klik 3 titik bagian atas lalu report ke google biar diapus dari play store,1,2024-10-18 08:34:01
Barusan ngeklik CARA PEMBAYARAN MALAH KELUAR LINK JUDOL GACOR GILAAAK,1,2024-10-18 04:29:00
"Payah, mau log in susah banget, aplikasi ngga guna",1,2024-10-18 02:53:06
Gila lah.. Aplikasi yg sangat penyulitkan Apa iya Pendaftaran full terus sampai 5 bulan kedepan. Setiap hari nyoba daftar terus tapi nggak pernah dapat quota,1,2024-10-17 21:44:57
Gak bisa masuk.,1,2024-10-17 15:44:28
"susah sekali masuk aplikasinya sudah uninstal dan instal ulang berkali kali tetep tidak bisa masuk aplikasi. semoga diperbaiki secara rutin, agar tidak menghambat pelayanan.",1,2024-10-17 07:07:59
"Sudah daftar dan pilih tanggal penih semua sampai 3 bulan ke depan, maksudnya apa coba",1,2024-10-17 06:57:43
"Ini aplikasi mentah. Belum siap atau gimana sih ini. Setiap sampai tahap mau upload berkas/baru masuk KTP,eh tiba2 close sendiri. Ampunnn deh. Belum pernah berhasik pakai aplikasi nggak jelas ini",1,2024-10-17 05:00:13
"Kalau paspor mati, itu terhitung urus baru atau penggantian paspor dan bisa diurus melalui aplikasi ini ???",5,2024-10-17 04:49:54
Koq OTP gk bisa masuk ke akun sya,1,2024-10-17 04:05:25
"Aplikasi ngk Guna ,LOL",1,2024-10-16 07:23:48
aplikasi force closse.. ketika masukan user dan pasword langsung ketutup,1,2024-10-16 07:12:15
Sofar sogood,5,2024-10-16 07:01:12
Ok,5,2024-10-16 03:55:00
Kok Bug trus yaaa... G bisa masuk terus,2,2024-10-16 03:10:07
"Kenapa tidak tersedia untuk pendaftaran paspor di kantor ""MPP kota Bekasi (Bekasi Trade Center). Apakah sudah tutup atau pindah ?",3,2024-10-16 01:16:55
Pengalaman saya sangat memudahkan membuat paspor baru,5,2024-10-15 23:32:00
"Gimana sih cara nya , kiriqn makin gampang ini makin ribet, setiap upload document yg diminta log out sendiri, udah brpa x instal ulang tetap sama aja gak bisa"" . Gimana ini tolong di bantu . Mau buat paspor jadi makin ribet",1,2024-10-15 09:51:10
ini gimna yah ko gabisa pilih tanggal gabisa di klik,1,2024-10-15 07:02:03
Gak bisa login email,1,2024-10-15 04:50:31
"Saya sangat kecewa ,,masak jadwal semua penuh ini kan aneh,,,gimana negara ini bisa maju ,,,bikin paspor aja susah banget ,,,,padahal kita bayar dan uangnya masuk kenegara ,,,,susah memang tinggal di negara korup,,banyak mafianya",1,2024-10-15 04:19:11
Gimana pelayanan Paspor yg jaluar Exekutif pembayaran mahal sampai sat ini belum bisa dilayani. Kalau tidak bisa untuk melayani sevara Ex sekutif jangan dibukak jalurnya. Pelayanan tidak maksimal. Sampai saat ini saya masih mendapat jawaban dari pegawai kantor imigrasi Agam Masih disuruh untuk menungu.dan menunggu.,1,2024-10-15 03:20:41
Aplikasi apa sih ini masa dari dulu kuota tgl pilih sel 0 trs,1,2024-10-14 19:29:17
Apps busuk dana kbnyakan dikorup,1,2024-10-14 14:50:01
Good apk,5,2024-10-14 14:18:47
"APK TIDAK BERFUNGSII, PILIH TANGGAL TIDAK BISA, KACAUUUU",1,2024-10-14 14:12:16
Untuk penerapan tanggal kedatangan tidak jelas,1,2024-10-14 11:50:28
Pengalaman buruk... 😭sudah bayar 1.650.000 malah pengajuan ditolak (duit tdk kembali) hanya krn salah isi😭 maunya duit kembali karenakan paspor tdk jd keluar😭 malah saya disuruh bayar lg buat pengajuan baru 😭😭,1,2024-10-14 09:13:44
Aplikasi yg mubah dan akhirnya unfaedah karena hanya menjadi formalitas support sistem layanan publik belaka . Di mana mubahnya ?? Yaitu pada fitur pemilihan tgl kedatangan dimana kita di arahkan untuk memilih tgl yg sudah di kolomkan. Kolom tersebut di kelompokan dalam 4 warna : Hijau > tersedia Merah > penuh Putih > belum di buka Kuning > terpilih Tetaaaapiiii . . . Untuk 3 bulan kedepan hampir semua kolom berwarna merah dan anehnya tdk 1 pun ada kolom tgl berwarna hijau . artinya . ?? 👎,1,2024-10-14 08:46:48
Busuuuuuuuuk,1,2024-10-14 06:50:55
"Capek2 ngisi data berulangkali, eh tetiba keluar sendiri dari aplikasinya.",1,2024-10-14 05:23:23
"app gak jelas, masukan kode otp sudah bener tapi bilangnya tidak valid",2,2024-10-14 04:45:15
Siip,5,2024-10-14 03:41:20
Lamban,1,2024-10-14 03:04:53
Force close tiba tiba. Kenapa ya?,1,2024-10-13 17:08:24
"Makin kacau, masa iya gk perna ada slot yg kosong selama 4 bulan,pilih tanggal kedatangan selalu 0 jatahnya? Makin kacau.. Apagunananya aplikasi online?",1,2024-10-13 15:22:46
alamak,1,2024-10-13 09:39:40
"Aplikasi banyak bug. Salah password aplikasi force closed, password benar force close juga, scan KTP malah kamera jadi distorsi dan eror gak bisa scan KTP.",1,2024-10-13 02:58:18
Bikin males kalau apk pemerintah udah 2x ganti emal dan pasword msh tetep salah.. Giliran korupsi aje gedein najis tinggal disini lama lama.. Semua nya serba asal,1,2024-10-13 01:09:07
"Ribet kuota habis semua, dasar nya manusia tikus semua, terkhusus darah jakarta",1,2024-10-12 11:02:34
Pengalaman daftar d sini 2x tp d lapangan NOL besar... Knpa d acc d sini tp d lapangan masih kurang ini itu ujung2na d tolak.. Kn buang2 uang 350K.. Masak kek gini negara meras rakyat kecil. 350 klo kerja kek saya uda uda 2-3Hri keringat saya d peras cuma2. Buat ukk kota Probolinggo uda kek duta sopan santun jga yg tukang wawancara...,1,2024-10-12 07:16:10
Tolong itu pemberitahuan kantor Cilegon jangan di munculkan dong mengganggu,1,2024-10-12 04:11:54
"Daftar baru data sudah diiisi lengkap nunggu no OTP gak keluar² payah saya merasa kesulitan buat bikin paspor datang langsung suruh ambil antriaan dionline, onlinenya aja erorr tlng diperbaikin",1,2024-10-12 03:32:22
"Kasihan yg mau apply sendiri. Ini pasti penuh terus kuotanya karena diblok sama travel2 agent yg ribuan jumlahnya. Mending balik ke sistem lama, imigrasi yang cari jadwal buat kita.",1,2024-10-12 02:05:17
"Sudah beberapa Minggu mau ngurus paspor gegara log in nggak bisa masuk padahal semuanya sudah bener. Mau log in pakek HP satunya nggak bisa masuk. Kocak aplikasinya bikin ribet bermasalah terus. Disuruh log out, gimna mau log out pas masukin email sama sandi aja langsung keluar sendiri dari aplikasi/ aplikasi tertutup lagi dan harus masukin email dan password lagi tapi malah sama. Begitu dan seterusnya. Nggak jelas",1,2024-10-11 23:40:42
"Gimana sih , setiap mau masuk akun security check verify data. Tidak bisa masuk terus selalu keluar , gak memudahkan sekali tolonglah kek mana ini",1,2024-10-11 21:44:55
"Acur lahh... Email tdk terdeteksi lah apa lah.. Padahal Emailnya pake di aplikasi lain kaga apa"".. Ko gini amat.. Katanya mempermudah.. Eh tau""nya kita yg pusing. Udah Emailnya baru pun sama pula...",1,2024-10-11 17:59:44
"Tiap x hr jumat msuk trtulis kuota full trus,kpan baru ada jatahnya ni pak bos (ukk mempawah)😁",1,2024-10-11 16:03:06
"Sudah daftar, lalu setelah login langsung buyar, aneh ini apk, masak login tak bisa.. Sudah bolak balik di instal-uninstal tetap sama, aneh nya apk M-Paspor ini ya,.. Apk punya pemerintah begini kah..??",1,2024-10-11 15:03:53
Bantu cari paspor,5,2024-10-11 13:05:53
aplikasi tolol online bukannya mempermudah malah mempersulit mending langsung/offline ga ribet,1,2024-10-11 12:47:08
"Sekarang bikin passport susah, Harus ada ini itu, bp2mi, Surat rekomendasi kantor, Dll. DENGAN ALASAN TRAFICK KINGS KEK,trus passpor palsu kek,banyak pt yg abal2x kek, Wah seribu alasan. DAH SARAN AJA... yg mo buat MENDING BUAT DI PT KALIAN MASING2X WLOPUN BIAYA LEBIH MAHAL YG PENTING JADI DAN PASTINYA ASLI. INDONESIA GA AKAN MAJU KALO MODELNYA PEMERINTAH MENYUSAHKAN RAKYATNYA, INDONESIA AKAN MISKIN SELAMANYA KALAU MODELNYA KAYAK GINI.",1,2024-10-11 10:25:47
jelek,2,2024-10-11 09:25:43
"Aplikasi membagongkqn, keluar masuk, ribet, bisa ga si ngurus rakyat buat paspor, rakyat bayar bukan mau ngutang.",1,2024-10-11 07:38:01
"gapernah ada kuota, semua tempat imigrasi dibuat pun tetap gaada kuota",1,2024-10-11 06:02:37
Kenapa setelah diupdate malah force closed terus ya aplikasinya?,2,2024-10-11 05:58:03
App aga laen,1,2024-10-11 05:48:07
Good job! :),5,2024-10-11 03:14:24
Aplikasi bener2 ga jelas. Nyusahin masyarakat,1,2024-10-11 02:14:45
"1. Program seharus nya otomatis mencarikan dimana kantor imigrasi yg masih bisa di pilih 2. Program pembayaran nya harus di perbaiki lagi, dipermudah sprti toko sebelah, virtual acount, tidak terburu buru dgn waktu yg sedikit 3. Program harus bisa di proses pembuatan 24 jam 4. Program harus di permudah bukan malah mempersulit",1,2024-10-10 15:56:47
Tidak bisa memilih tanggal kedatangan ke kantor imigrasi,1,2024-10-10 15:49:06
Nomor telepon sudah terdaftar????......,1,2024-10-10 15:22:16
ini aplikasi sebenere yg buat siapa ya? kalau belum bisa buat jangan lsg di release di google… ini sama skl tdk berfungsi parah pakai banget,1,2024-10-10 11:46:09
"Membantu banget, lancar dan mudah di akses",5,2024-10-10 09:04:22
kapan diperbaiki?,1,2024-10-10 07:48:02
"Jelek, birokrasi lambat, aplikasi sering eror",1,2024-10-10 06:08:54
Sangat membantu,5,2024-10-10 05:57:36
Semoga barokaah,5,2024-10-10 05:07:15
sering keluar sendiri pdahal ceche sdh di hpus.. memory hp kosong knpa sering time out,1,2024-10-09 21:32:27
Baru daftar terus di bilang akun gmail anda sudah terdaftar padahal ini masih Fist time pendaftaran,1,2024-10-09 12:28:06
Aplikasinya bagus tapi sayang nomer antrian selalu habis di ambil Calo.,2,2024-10-09 09:23:41
"Gak bisa login, malah dapat telpon yg ngaku dari pihak imigran, langsung aku blokir aja no telpon nya 😔",1,2024-10-09 07:12:45
"Aplikasi tidak jelass..sudah login malah logout ..begitu terus sampai jari keriting..bukannya mempermudah malah mempersulit.,yg kyk begini calo berjalan leluasa..",1,2024-10-09 05:32:14
"Ini gimana mau daftar online, sedangkan semua kanim full. Apa iya semua kanim sudah full??????",1,2024-10-09 04:41:58
Kenapa time out terus ya sudah hapus instal berkali2. Masih aja time out,1,2024-10-09 04:38:56
Selalu mental keluar aplikasi ya,1,2024-10-09 03:32:35
Berapa lama pembaharuannya ????,1,2024-10-09 03:05:05
Tidak bisa pilih tanggal. Aplikasi kok eror terus. Mengecewakan,1,2024-10-09 02:16:07
Ok,5,2024-10-09 01:41:32
"Setiap mau upload document ke force close sendiri, udah keriting ini jari. Mohon diperbaiki sistemnya, bukannya mempermudah malah merumitkan.",1,2024-10-08 18:21:15
"Di hp xiomi poco m3, os android 12 tidak berfungsi setelah login ngehang",1,2024-10-08 16:49:40
"Profesional, ramah, handal, terpercaya, tingkat kan lagi chaaayoo!!!",5,2024-10-08 16:16:52
Aplikasi sampah. Ga becus bkin aplikasi cuman nyusahin masyarakat aja. Kalo gak siap digitalisasi mending pake konvensional aja semuanya.,1,2024-10-08 14:17:55
"Udah ngisi data, foto data, malah tiba2 balik ke menu awal. Cape bener ngulang Ampe 5x gitu trus",1,2024-10-08 13:52:36
"buat apa bikin aplikasi kalau bikin ribet, beda banget dengan luar negri meskipun lewat online sangat membantu, please dong imigrasi jangan mengulitkan.",1,2024-10-08 08:29:15
"buat aplikasi ginian aja gabisa nih pemerintah, system nya sampah, kok bisa aplikasi pemerintah sering force close",1,2024-10-08 06:14:10
App ga jelas... Dah login malah ketutup sendiri app nya 😅😅😅,1,2024-10-08 03:15:21
kenapa mau upload foto ktp selalu keluar terussss 😢 tolong yang pembuatnya coment dong..,1,2024-10-08 02:35:46
Aplikasi tidak ikhlas,1,2024-10-08 02:18:11
"Aplikasinya error, tiap lagi upload berkas tiba tiba ketutup sendiri Tolong ke depannya diperbaiki lagi supaya tidak mempersulit urusan orang lain",1,2024-10-08 01:15:45
Aplikasi nya tidak bisa di pakai,1,2024-10-08 00:49:14
Tidak ada kuota sampai desember.,1,2024-10-08 00:15:42
Saya mau ngajukan paspor biasa kok gak bisa malah paspor elektronik,1,2024-10-07 19:31:07
Ok,5,2024-10-07 14:55:58
"Walaupun sering maintenance, tpi sekali nya bisa ya sangat berguna banget buat daftar"" & antri pembuatan paspor",4,2024-10-07 12:12:35
"gk bisa pilih tanggal, masa fulk l smua..",1,2024-10-07 06:54:23
Mantap dan sangat membantu,5,2024-10-07 05:17:12
"Mau login force close terus, gimana dah ini aplikasi",1,2024-10-07 04:31:11
payah logout terus,1,2024-10-07 04:04:47
harusnya ada pemberitahuan pendaftaran dimulai tiap tanggal 30 karena banyak kantor layanan yang kuotanya untuk satu bulan habis dalam hitungan jam,1,2024-10-07 02:22:10
galat,1,2024-10-07 02:04:03
Saya Baru mau coba,5,2024-10-07 01:18:31
Kalau ada bintang 0 tak kasih 0,1,2024-10-06 15:36:38
Ngga bisa login dan ngga bisa bikin akun baru lagi,1,2024-10-06 15:02:07
lemot,1,2024-10-06 14:02:09
Aplikasi Bodoh,1,2024-10-06 13:24:14
"Aplikasinya tiba² keluar/tutup dg sendirinya, jdnya tdk tuntas upload dokumen & jawab pertanyaan dlm aplikasi, shg hrs mengulang terus menerus. Sdh coba daftar siang, sore, malem, tengah malem & bahkan habis sholat subuh, tp tetap aja aplikasinya tiba² keluar/tutup sendiri. Tolong aplikasinya diperbaiki, krn aplikasi akan sangat membantu masyarakat yg mau mengurus paspor.",2,2024-10-06 08:25:59
"Ui/ux nya jelek, mau foto ktp saja nangkapnya tidak benar, tidak bisa upload file",1,2024-10-06 07:53:04
"Kenapa tidak bisa ? Alasannya Kuota selalu penuh,",1,2024-10-06 05:42:41
"Kocak di aplikasi 2 bulan kuotanya penuh terus, emang harus bayar calo aja dah, ribet.",1,2024-10-06 04:24:50
"Gimana mau ngasih pengalaman mau masuk aja gak bisa wkwkwk, pas buat email baru gk jelas bgt katanya email sudah terdaftar pas login malah error sampe 3 kali buat akun dan nomor baru, nah pas di saat sudah bisa malah force closed gk jelas bgt wkwkwk.... mohon di cek dan di benahi baik²",1,2024-10-06 04:24:24
aplud foto tiba2 kembali,1,2024-10-06 03:28:39
Sangat membantub,5,2024-10-06 03:04:22
Jelek amat skr GK bisa log in,1,2024-10-06 01:06:58
Hallo gimana mau pakai aplikasi ini KLO apk nya keluar trus,1,2024-10-05 23:28:45
Request time out melulu,1,2024-10-05 08:13:03
"developer masih banyak PR nih. Dulu request time out mulu pas milih kedatangan, kapan dulu juga oernah upload foto doang sampe 10 menit, skg upload foto ktp force close sendiri. Anggaran buat benahin online app nya aja deh drpd ganti2 warna buku paspor buat apeee",1,2024-10-05 06:13:42
permainan harus bayar rb900 ke tempat .. dari pada bayar online rp350.. applikasi d bikin susah akses,1,2024-10-05 00:37:38
mohon sistem nya diperbaiki ini sudah beberapa hari masukin data sampai tahap berikutnya aplikasi hilang jadi ulang dari awal lagi,2,2024-10-04 23:14:20
"Gak membantu sama skali, udah 10x ngulang ngulang isi data, ujung nya pilih tanggal kedatangan ga ada yg hijau, smua tempat sama aja merah smua, gak guna buat cape aja",1,2024-10-04 14:17:25
"Verifity nya nyusahin orang, kagak ada tutorialnya pula. Parah ini aplikasi",1,2024-10-04 12:48:58
"bulan Agustus sudah pernah memasukkan semua data dan berhasil meskipun berdarah2 tapi jadwal penuh, mau reschedule aplikasi g bisa dibuka, terus gagal setelah security check langsung keluar 🤦🤦🤦",2,2024-10-04 12:07:45
Kenapa waktu upload foto keluar sndri aplikasinya,5,2024-10-04 08:28:09
"Katanya Memudahkan,lah kok sama Aja tetep ribet,udah isi data sesuai KTP sama KK,ehh...simpel bgt jawabanya Data Tidak Valid. Mohon Aplikasi Seperti ini Untuk di tingkatkan karena jika bekerja dengan Baik maka akan mempermudah Orang.",1,2024-10-04 07:29:08
Ada apa dengan aplikasinya? Logout terus saat lengkapi data,2,2024-10-04 04:16:11
Bagus,4,2024-10-04 01:56:41
"pengalaman yang menyenangkan,namun saat ini tidak bisa login",4,2024-10-04 00:45:37
"Gk bisa masuk samsek, gk ngerti",1,2024-10-03 23:14:57
"Saran saya baik yang membaca ini,semoga dilihat semua orang,mohon viralkan aja apk ini,bukanya membantu dipermudah malah makin kesini sangat dipersusah",2,2024-10-03 13:00:38
"tolong lah benahin nih aplikasi buruk bgt, mau login aplikasi berhenti paksa terus, hadeh.",1,2024-10-03 06:17:40
Good App,5,2024-10-03 06:01:05
Keren,5,2024-10-03 02:35:33
"Gak jelas kuota pengambilan pasport selalu penuh sampai Desember, ujung ujungnya harus lewat CALO",1,2024-10-02 12:42:05
"Sudah punya akun,mau masuk ke aplikasix malah keluar lagi,, Gangguan/bagaimana? Apa harus di hapus dulu aplikasix terus download lagi,",1,2024-10-02 09:19:15
Setelah install kok gak bisa dipakai,1,2024-10-02 09:04:52
BAGUS DAN CEPAT,5,2024-10-02 08:47:20
"Ayo lah pemerintah, kalau bikin aplikasi yg bagus lah. Setiap saya login selalu keluar sendiri.",1,2024-10-02 07:32:41
gak baik,1,2024-10-02 07:03:53
Ok,5,2024-10-02 05:58:50
Easy to used,5,2024-10-02 05:16:04
Muda sekali,5,2024-10-02 03:07:35
Error mulu aplikasinya eek. Upload foto lewat galeri gak bisa. Bagian upload foto lewat foto kamera malah ngecrop udah gitu tiba-tiba force close. Gini amat tinggal di negara paling korup,1,2024-10-02 02:36:06
Kode Otpnya gak masuk masuk ke email,2,2024-10-02 02:22:30
Aplikasi gagal banyak eroor,1,2024-10-01 23:38:29
"Udah ga heran aplikasi dari pemerintah kebanggaan gini, dulu buat SIM juga pake aplikasi katanya, tapi aplikasi nya ga bisa digunain, sampe berhari2 gitu terus . Dateng langsung ke kantor Ndak boleh harus dari aplikasinya dulu, kocak emang, tapi sekali pake orang dalem langsung dijabanin, heraannn",1,2024-10-01 23:16:03
