Review,Rating,Date,Translated_Review
Lihat bagaimana cara pembayaran kok diarahkan ke link judi online,2,2024-10-18 14:28:16,See how the payment method is directed to the online gambling link
Pada Jadwal Kedatangan G Ada Kolom Berwarna Hijau,1,2024-10-18 14:11:21,On Arrival Schedule G There is a Green Column
Bagus,4,2024-10-18 13:41:53,Good
"Mana ga bisa masuk2, keluar sendiei",1,2024-10-18 10:26:19,"Where you can't get in, you can get out by yourself"
"Apk nya jelek bangeet pada saat sdh pilih tgl kedatangan dll, tinggal posting tpi error terus ,, begitu terus dari pagi sampai sore padahal jaringan lancar2 aja, paket data juga masih banyak",1,2024-10-18 09:26:21,"The app is really bad when you have selected the arrival date etc., you just have to post but it keeps giving errors, it keeps doing that from morning to evening even though the network is smooth, and there are still a lot of data packages."
Tidak bisa pilih tanggal,1,2024-10-18 09:22:16,Can't select date
Aplikasi yang gak ada gunanya,1,2024-10-18 08:42:02,Useless app
Aplikasi ter aneh yang ada di playstore . Disarankan hapus karena ga guna. Klik 3 titik bagian atas lalu report ke google biar diapus dari play store,1,2024-10-18 08:34:01,The strangest app on the playstore. It is recommended to delete it because it is useless. Click the 3 dots at the top then report to Google so that it can be removed from the play store
Barusan ngeklik CARA PEMBAYARAN MALAH KELUAR LINK JUDOL GACOR GILAAAK,1,2024-10-18 04:29:00,Just clicked on PAYMENT METHODS BUT THERE WAS A CRAZY GACOR JUDOL LINK
"Payah, mau log in susah banget, aplikasi ngga guna",1,2024-10-18 02:53:06,"It sucks, it's really hard to log in, the app is useless"
Gila lah.. Aplikasi yg sangat penyulitkan Apa iya Pendaftaran full terus sampai 5 bulan kedepan. Setiap hari nyoba daftar terus tapi nggak pernah dapat quota,1,2024-10-17 21:44:57,Crazy.. Very difficult application. Is it true that registration will be full for the next 5 months? Every day I try to register but never get a quota?
Gak bisa masuk.,1,2024-10-17 15:44:28,Can't get in.
"susah sekali masuk aplikasinya sudah uninstal dan instal ulang berkali kali tetep tidak bisa masuk aplikasi. semoga diperbaiki secara rutin, agar tidak menghambat pelayanan.",1,2024-10-17 07:07:59,"It's very difficult to enter the application, I've uninstalled and reinstalled it many times but I still can't enter the application. Hopefully it will be fixed regularly so as not to hinder service."
"Sudah daftar dan pilih tanggal penih semua sampai 3 bulan ke depan, maksudnya apa coba",1,2024-10-17 06:57:43,"I've registered and selected all the full dates for the next 3 months, what does that mean?"
"Ini aplikasi mentah. Belum siap atau gimana sih ini. Setiap sampai tahap mau upload berkas/baru masuk KTP,eh tiba2 close sendiri. Ampunnn deh. Belum pernah berhasik pakai aplikasi nggak jelas ini",1,2024-10-17 05:00:13,"This is a raw application. It's not ready or what. Every time I get to the stage of uploading files/entering my ID card, it suddenly closes itself. Oh my. I've never succeeded using this unclear application."
"Kalau paspor mati, itu terhitung urus baru atau penggantian paspor dan bisa diurus melalui aplikasi ini ???",5,2024-10-17 04:49:54,"If your passport expires, is it considered a new or replacement passport and can it be processed through this application???"
Koq OTP gk bisa masuk ke akun sya,1,2024-10-17 04:05:25,Why can't the OTP enter my account?
"Aplikasi ngk Guna ,LOL",1,2024-10-16 07:23:48,"Useless app, LOL"
aplikasi force closse.. ketika masukan user dan pasword langsung ketutup,1,2024-10-16 07:12:15,Application force close.. when entering user and password it immediately closes
Sofar sogood,5,2024-10-16 07:01:12,Sofar sogood
Ok,5,2024-10-16 03:55:00,Ok
Kok Bug trus yaaa... G bisa masuk terus,2,2024-10-16 03:10:07,Why does it keep bugging me? I can't log in all the time
"Kenapa tidak tersedia untuk pendaftaran paspor di kantor ""MPP kota Bekasi (Bekasi Trade Center). Apakah sudah tutup atau pindah ?",3,2024-10-16 01:16:55,Why is it not available for passport registration at the Bekasi City MPP office (Bekasi Trade Center). Has it closed or moved?
Pengalaman saya sangat memudahkan membuat paspor baru,5,2024-10-15 23:32:00,My experience made it very easy to make a new passport
"Gimana sih cara nya , kiriqn makin gampang ini makin ribet, setiap upload document yg diminta log out sendiri, udah brpa x instal ulang tetap sama aja gak bisa"" . Gimana ini tolong di bantu . Mau buat paspor jadi makin ribet",1,2024-10-15 09:51:10,"How do I do it? The easier it is to send it, the more complicated it is. Every time I upload a document that is requested, I log out automatically. I have reinstalled several times and it still doesn't work. What can I do? Please help. I want to make a passport and it's getting more complicated."
ini gimna yah ko gabisa pilih tanggal gabisa di klik,1,2024-10-15 07:02:03,How come I can't select the date and can't click it?
Gak bisa login email,1,2024-10-15 04:50:31,Can't login email
"Saya sangat kecewa ,,masak jadwal semua penuh ini kan aneh,,,gimana negara ini bisa maju ,,,bikin paspor aja susah banget ,,,,padahal kita bayar dan uangnya masuk kenegara ,,,,susah memang tinggal di negara korup,,banyak mafianya",1,2024-10-15 04:19:11,"I am very disappointed, how come all the schedules are full, this is strange, how can this country progress, making a passport is so difficult, even though we pay and the money goes into the country, it is indeed difficult to live in a corrupt country, there are lots of mafias"
Gimana pelayanan Paspor yg jaluar Exekutif pembayaran mahal sampai sat ini belum bisa dilayani. Kalau tidak bisa untuk melayani sevara Ex sekutif jangan dibukak jalurnya. Pelayanan tidak maksimal. Sampai saat ini saya masih mendapat jawaban dari pegawai kantor imigrasi Agam Masih disuruh untuk menungu.dan menunggu.,1,2024-10-15 03:20:41,"How is the service for the Passport that is out of Executive, the payment is expensive, until now it cannot be served. If it cannot be served as Ex-Sekutif, do not open the route. The service is not optimal. Until now I still get an answer from the Agam Immigration Office employee Still told to wait and wait."
Aplikasi apa sih ini masa dari dulu kuota tgl pilih sel 0 trs,1,2024-10-14 19:29:17,"What application is this? Since the beginning, the quota date has been set to 0."
Apps busuk dana kbnyakan dikorup,1,2024-10-14 14:50:01,"Rotten apps, most of the funds are corrupted"
Good apk,5,2024-10-14 14:18:47,Good apk
"APK TIDAK BERFUNGSII, PILIH TANGGAL TIDAK BISA, KACAUUUU",1,2024-10-14 14:12:16,"APK NOT WORKING, CAN'T SELECT DATE, IT'S A MESS"
Untuk penerapan tanggal kedatangan tidak jelas,1,2024-10-14 11:50:28,For the implementation of the arrival date is not clear
Pengalaman buruk... 😭sudah bayar 1.650.000 malah pengajuan ditolak (duit tdk kembali) hanya krn salah isi😭 maunya duit kembali karenakan paspor tdk jd keluar😭 malah saya disuruh bayar lg buat pengajuan baru 😭😭,1,2024-10-14 09:13:44,"Bad experience... 😭already paid 1,650,000 but the application was rejected (money not returned) just because of wrong content 😭 I wanted the money back because the passport was not issued 😭 instead I was told to pay again for a new application 😭😭"
Aplikasi yg mubah dan akhirnya unfaedah karena hanya menjadi formalitas support sistem layanan publik belaka . Di mana mubahnya ?? Yaitu pada fitur pemilihan tgl kedatangan dimana kita di arahkan untuk memilih tgl yg sudah di kolomkan. Kolom tersebut di kelompokan dalam 4 warna : Hijau > tersedia Merah > penuh Putih > belum di buka Kuning > terpilih Tetaaaapiiii . . . Untuk 3 bulan kedepan hampir semua kolom berwarna merah dan anehnya tdk 1 pun ada kolom tgl berwarna hijau . artinya . ?? 👎,1,2024-10-14 08:46:48,An application that is permissible and ultimately useless because it is only a formality to support the public service system. Where is the permissible? Namely in the arrival date selection feature where we are directed to select the date that has been columned. The column is grouped into 4 colors: Green> available Red> full White> not yet opened Yellow> selected Butt ...
Busuuuuuuuuk,1,2024-10-14 06:50:55,Busuuuuuuuk
"Capek2 ngisi data berulangkali, eh tetiba keluar sendiri dari aplikasinya.",1,2024-10-14 05:23:23,"After being tired of filling in the data over and over again, suddenly the application exits by itself."
"app gak jelas, masukan kode otp sudah bener tapi bilangnya tidak valid",2,2024-10-14 04:45:15,"the app is not clear, the OTP code input is correct but it says it is invalid"
Siip,5,2024-10-14 03:41:20,Great
Lamban,1,2024-10-14 03:04:53,Slow
Force close tiba tiba. Kenapa ya?,1,2024-10-13 17:08:24,Force close suddenly. Why is that?
"Makin kacau, masa iya gk perna ada slot yg kosong selama 4 bulan,pilih tanggal kedatangan selalu 0 jatahnya? Makin kacau.. Apagunananya aplikasi online?",1,2024-10-13 15:22:46,"It's getting more chaotic, is it true that there has never been an empty slot for 4 months, choosing the arrival date always gets 0 quota? It's getting more chaotic.. What's the use of online applications?"
alamak,1,2024-10-13 09:39:40,hell
"Aplikasi banyak bug. Salah password aplikasi force closed, password benar force close juga, scan KTP malah kamera jadi distorsi dan eror gak bisa scan KTP.",1,2024-10-13 02:58:18,"The application has many bugs. Wrong password forces the application to close, the correct password also forces it to close, scanning KTP makes the camera distorted and errors cannot scan KTP."
Bikin males kalau apk pemerintah udah 2x ganti emal dan pasword msh tetep salah.. Giliran korupsi aje gedein najis tinggal disini lama lama.. Semua nya serba asal,1,2024-10-13 01:09:07,"It's annoying when the government app has changed the email and password twice and it's still wrong. When it's corruption, it just makes things worse. Staying here for a long time is all haphazard."
"Ribet kuota habis semua, dasar nya manusia tikus semua, terkhusus darah jakarta",1,2024-10-12 11:02:34,"It's a hassle, all the quotas are used up, basically they're all rats, especially Jakarta blood"
Pengalaman daftar d sini 2x tp d lapangan NOL besar... Knpa d acc d sini tp d lapangan masih kurang ini itu ujung2na d tolak.. Kn buang2 uang 350K.. Masak kek gini negara meras rakyat kecil. 350 klo kerja kek saya uda uda 2-3Hri keringat saya d peras cuma2. Buat ukk kota Probolinggo uda kek duta sopan santun jga yg tukang wawancara...,1,2024-10-12 07:16:10,"Experience registering here 2x but in the field a big ZERO... Why is it accepted here but in the field it's still lacking this and that and in the end it's rejected.. It's a waste of 350K.. How can the state exploit the common people. 350 if working like me for 2-3 days my sweat is squeezed out for nothing. For the city of Probolinggo, it's like an ambassador for politeness and also the interviewer..."
Tolong itu pemberitahuan kantor Cilegon jangan di munculkan dong mengganggu,1,2024-10-12 04:11:54,"Please don't display the Cilegon office notification, it's annoying."
"Daftar baru data sudah diiisi lengkap nunggu no OTP gak keluar² payah saya merasa kesulitan buat bikin paspor datang langsung suruh ambil antriaan dionline, onlinenya aja erorr tlng diperbaikin",1,2024-10-12 03:32:22,"New list of data has been filled in completely, waiting for the OTP number to not come out, I feel it is difficult to make a passport, I just came and was told to take a queue online, the online is an error, please fix it"
"Kasihan yg mau apply sendiri. Ini pasti penuh terus kuotanya karena diblok sama travel2 agent yg ribuan jumlahnya. Mending balik ke sistem lama, imigrasi yang cari jadwal buat kita.",1,2024-10-12 02:05:17,"Poor those who want to apply by themselves. The quota will definitely be full because it is blocked by thousands of travel agents. It's better to go back to the old system, immigration will find the schedule for us."
"Sudah beberapa Minggu mau ngurus paspor gegara log in nggak bisa masuk padahal semuanya sudah bener. Mau log in pakek HP satunya nggak bisa masuk. Kocak aplikasinya bikin ribet bermasalah terus. Disuruh log out, gimna mau log out pas masukin email sama sandi aja langsung keluar sendiri dari aplikasi/ aplikasi tertutup lagi dan harus masukin email dan password lagi tapi malah sama. Begitu dan seterusnya. Nggak jelas",1,2024-10-11 23:40:42,"It's been a few weeks since I wanted to take care of my passport because I couldn't log in even though everything was correct. I wanted to log in using the other cellphone but I couldn't log in. It's funny that the application is always complicated and problematic. I was told to log out, how can I log out? When I enter my email and password, I immediately exit the application/ the application closes again and I have to enter my email and password again but it's the same. And so on. It's unclear"
"Gimana sih , setiap mau masuk akun security check verify data. Tidak bisa masuk terus selalu keluar , gak memudahkan sekali tolonglah kek mana ini",1,2024-10-11 21:44:55,"How come, every time I want to enter the account, the security check verifies the data. I can't enter and always get logged out, it's not easy at all, please help me with this"
"Acur lahh... Email tdk terdeteksi lah apa lah.. Padahal Emailnya pake di aplikasi lain kaga apa"".. Ko gini amat.. Katanya mempermudah.. Eh tau""nya kita yg pusing. Udah Emailnya baru pun sama pula...",1,2024-10-11 17:59:44,"What a shame... The email can't be detected, what's wrong... Even though the email is used in another application, it's fine... Why is it like this... They say it makes things easier... Then it turns out we're the ones who are having a headache. Even with a new email, it's the same..."
"Tiap x hr jumat msuk trtulis kuota full trus,kpan baru ada jatahnya ni pak bos (ukk mempawah)😁",1,2024-10-11 16:03:06,"Every x days on Fridays, it says the quota is full, when will there be a quota for this, boss (UKK Mempawah)😁"
"Sudah daftar, lalu setelah login langsung buyar, aneh ini apk, masak login tak bisa.. Sudah bolak balik di instal-uninstal tetap sama, aneh nya apk M-Paspor ini ya,.. Apk punya pemerintah begini kah..??",1,2024-10-11 15:03:53,"I've registered, then after logging in it immediately crashes, this apk is strange, how come I can't log in.. I've installed and uninstalled it several times but it's still the same, what's strange about this M-Passport apk, is this an apk owned by the government?"
Bantu cari paspor,5,2024-10-11 13:05:53,Help find passport
aplikasi tolol online bukannya mempermudah malah mempersulit mending langsung/offline ga ribet,1,2024-10-11 12:47:08,"online stupid application instead of making things easier it actually makes things more difficult, it's better to do it directly/offline without any hassle"
